,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
Energy Eigenvalue,-9.271698265,-6.557545329,-6.152196916,-5.603583738,-4.801643016,-3.989316244,-3.680446404,-3.673091956,-3.041672515,-2.511225368,-2.02960827,-1.553573122,-1.060116965,-1.005257025,-0.864897685,-0.565761589,-0.267372868,0.016709709,0.590903276,0.676506974,1.463915061,1.528103815,1.5774535,1.938550728,2.433207453,3.037814204,3.626215305,3.872713047,4.328987175,4.577869296,5.06925928,5.933586191,6.890126836,8.79564173,26.65382173,26.65383416,27.34548772,27.34985828,27.74477053,27.74533603,29.54395433,29.5439952,30.33049335,30.33072564,30.46115435,30.46207167,30.84224605,30.84363105,31.39048218,31.39059805,31.90515408,31.90516222,32.04802449,32.04814633,32.39147751,32.39149573,33.00948488,33.00958612,33.47811411,33.48042624,34.04580359,34.04604644,34.50644643,34.50820242,35.22064295,35.22081152,36.38941972,36.38957786,37.04850807,37.05184309,37.37008299,37.3704478,60.28136368,60.28136522,60.83294409,61.48209518,61.48228545,62.48955539,62.8902735,62.89247371,63.38127246,63.38128143,63.90696228,63.90698543,64.46540195,64.58739675,64.58740043,64.59845602,64.62402747,64.87866509,64.87900288,66.01595144,66.01595364,66.65089348,66.93771278,66.94885425,67.14392407,67.14540278,68.92395732,68.92998164,68.93075362,94.06326318,94.06326325,95.009843,95.00987853,96.44146555,96.4457495,96.97113425,96.97113432,97.08558542,97.08559235,97.19284576,97.19284667,99.05598266,99.05600796,99.72588782,99.725888,127.5985317,127.598535,129.1931279,129.5127054,129.6171517,129.6848253,131.6447594,131.6447766,161.7835672,161.7835724,194.374696
Probability,0.023279399,0.088597386,4.31E-30,0.00109066,2.59E-32,0.002083063,0.184875208,1.63E-26,0.000508674,6.48E-31,0.000813983,0.000592745,8.16E-30,1.76E-29,0.237485377,0.003334773,0.001417303,1.56E-29,5.94E-29,0.003562441,0.027897493,2.44E-29,0.009950908,0.173611249,1.80E-29,0.005850683,0.017704685,3.49E-29,2.10E-29,0.121640968,0.001776782,1.44E-30,0.053147169,0.021197586,3.69E-05,4.40E-25,8.85E-27,6.36E-05,1.07E-28,7.41E-05,0.000106086,3.58E-32,3.16E-31,1.21E-05,8.36E-32,0.000101779,3.38E-33,0.000102071,4.26E-32,5.79E-05,1.05E-07,3.57E-32,7.02E-32,2.46E-06,0.000110547,9.55E-31,3.15E-32,2.71E-05,8.80E-33,0.000114242,1.14E-32,2.01E-05,2.64E-31,7.56E-05,7.43E-32,7.36E-05,1.59E-32,6.99E-05,2.38E-28,2.38E-05,9.69E-29,1.70E-05,5.81E-21,0.002274785,0.001611857,1.82E-08,3.43E-30,1.95E-08,1.01E-32,3.49E-05,1.30E-30,0.003721027,1.99E-07,1.17E-32,6.01E-08,0.000126784,1.19E-27,4.71E-29,1.36E-08,2.70E-31,0.00306424,0.003559057,8.45E-31,3.12E-08,1.40E-33,1.90E-06,1.45E-31,7.71E-09,0.000357243,8.20E-23,0.003615371,1.66E-19,7.89E-07,3.27E-26,1.21E-06,6.14E-30,2.21E-06,1.64E-06,7.74E-21,1.60E-25,1.50E-06,3.50E-07,3.83E-23,1.19E-25,1.14E-06,1.25E-23,3.46E-07,1.69E-33,3.98E-05,2.23E-10,2.47E-05,8.66E-31,1.34E-05,7.06E-33,3.77E-05,1.89E-26,1.48E-08,2.45E-07
0,0.115471344,0.014914418,4.71E-30,0.020854802,2.64E-32,0.007396992,0.125270528,1.13E-26,0.108014995,2.87E-30,0.028631929,0.004631385,8.32E-31,0,0.048570203,0.00160254,0.022479756,5.46E-29,1.12E-29,0.020179708,0.028443405,0,0.019316671,0.08585119,0,0.11065274,0.020283325,2.78E-29,2.77E-31,0.05098037,0.015875459,9.00E-31,0.047316271,0.102889773,3.36E-05,4.01E-25,4.98E-27,3.59E-05,6.90E-29,4.77E-05,6.98E-07,2.20E-35,7.81E-33,5.40E-06,0,1.78E-06,0,1.17E-05,0,2.59E-05,2.06E-08,0,0,1.28E-07,4.30E-05,0,0,3.38E-05,0,3.98E-05,0,6.74E-06,0,5.52E-07,1.74E-33,8.10E-07,0,2.67E-05,2.03E-28,2.07E-05,2.14E-28,3.68E-05,1.64E-25,6.42E-08,3.03E-08,9.09E-08,1.56E-29,2.20E-09,0,1.96E-09,0,1.92E-08,7.37E-09,0,3.96E-09,1.35E-11,0,0,3.69E-10,0,4.46E-08,5.39E-08,0,8.05E-10,0,1.58E-09,3.23E-34,8.73E-08,2.58E-09,1.28E-27,5.65E-08,3.32E-23,1.58E-10,4.94E-30,1.82E-10,2.98E-35,1.06E-11,3.14E-13,1.48E-27,1.91E-30,1.78E-11,3.26E-13,3.57E-29,1.39E-29,1.34E-10,5.49E-27,1.52E-10,7.68E-40,3.26E-13,2.82E-13,5.00E-18,6.46E-35,1.92E-14,2.05E-40,2.40E-13,1.29E-33,1.02E-15,9.16E-19
1000000,0.073185613,0.002385591,0.064530829,0.025636427,0.053721749,0.02136178,0.035266037,0.040122275,0.009203898,0.00654298,0.044611179,0.005894008,0.015166521,0.003700002,0.012429604,0.017373163,0.0002332,0.111035173,0.006033049,0.028544297,0.020066155,0.053500488,0.045884051,0.001092146,0.014472568,0.006746582,0.001335819,0.028272301,0.035816455,0.038272495,0.037390588,0.064995872,0.002346229,0.068651637,0.000457772,0.00067523,2.54E-07,1.70E-05,8.03E-06,7.28E-06,2.41E-05,1.22E-06,7.70E-05,0.000143589,5.41E-06,1.55E-05,3.90E-06,3.17E-06,1.91E-05,6.94E-07,9.22E-06,6.12E-06,1.34E-05,1.51E-05,0.0006723,0.000725288,1.64E-05,2.67E-08,2.74E-07,7.72E-08,0.000114062,7.39E-05,7.92E-06,5.46E-06,9.25E-07,2.79E-05,5.61E-06,5.03E-06,1.10E-06,2.32E-06,0.000404,0.00060423,1.77E-06,1.27E-06,1.95E-08,1.23E-08,1.35E-08,1.48E-07,4.55E-08,3.87E-08,3.62E-07,5.48E-07,1.20E-07,1.18E-07,4.03E-09,2.43E-08,1.67E-08,2.29E-08,1.91E-08,4.37E-08,1.64E-09,1.24E-06,1.30E-06,6.13E-08,1.78E-08,5.39E-08,8.47E-09,9.40E-09,5.10E-08,8.30E-07,1.17E-06,4.61E-09,3.41E-09,3.01E-11,2.80E-11,7.16E-12,8.39E-10,1.44E-11,3.69E-12,3.48E-10,4.95E-10,8.16E-11,8.34E-12,4.59E-11,4.81E-11,3.36E-09,4.34E-09,9.74E-12,7.10E-12,5.36E-17,8.18E-16,5.40E-16,1.84E-12,4.79E-12,7.67E-12,2.61E-14,2.62E-14,9.43E-17
100000,0.03814994,0.052404394,0.046265173,0.044748721,0.002463024,0.027349373,0.002146192,0.095278845,0.018647556,0.032895003,0.005624044,0.008196917,0.013795569,0.01113055,0.053175996,0.003634731,5.50E-07,0.110676143,0.005675328,7.21E-05,0.009861429,0.033552403,0.010062111,0.065846391,0.04960377,0.008797965,0.031485261,0.052336362,0.001498821,0.000323366,0.039928554,0.0408235,0.054229104,0.02131069,0.000472852,0.000630863,9.79E-06,3.43E-06,0.000802347,0.00060889,2.32E-07,2.87E-05,0.000147291,7.35E-05,8.76E-06,1.33E-06,0.000332743,0.000109928,1.28E-06,2.80E-06,9.75E-06,6.15E-06,1.23E-08,4.27E-07,0.000723678,0.00064848,1.81E-06,3.75E-06,0.000439414,0.000765815,5.72E-05,0.000134491,1.08E-06,5.27E-06,2.13E-05,1.90E-06,0.000420298,0.000509412,2.64E-05,3.98E-10,0.000409869,0.000564526,2.86E-06,2.41E-06,6.78E-11,1.86E-06,2.38E-06,1.45E-07,2.75E-08,4.45E-08,1.05E-06,5.44E-07,4.70E-07,3.90E-14,1.76E-07,6.75E-10,2.36E-11,1.20E-07,1.27E-08,7.44E-15,1.55E-10,2.60E-06,1.84E-06,6.63E-08,2.03E-08,3.62E-08,1.71E-06,2.38E-06,2.04E-07,1.66E-06,1.65E-06,8.61E-09,7.28E-09,4.51E-09,4.61E-09,6.15E-11,1.15E-09,3.92E-11,4.58E-11,7.81E-11,1.59E-09,2.94E-11,2.53E-10,3.31E-09,3.39E-09,6.79E-09,8.52E-09,1.70E-11,1.73E-11,2.86E-11,1.44E-15,5.83E-14,2.91E-12,1.25E-11,1.27E-11,5.09E-15,1.54E-13,1.95E-16
1100000,0.00069396,0.000113188,4.14E-06,4.46E-06,0.000316506,0.000404467,3.94E-05,0.000979944,0.000151537,0.000269907,5.10E-05,0.000129758,0.000242609,0.000113109,3.39E-05,1.16E-05,4.51E-06,1.17E-08,9.46E-05,0.000134839,0.000182994,0.000670343,6.92E-05,0.000248257,0.000477855,0.000181227,0.0001538,0.000650923,8.01E-05,0.000174142,2.29E-06,1.66E-05,0.000365509,0.000827087,0.140182904,0.139851959,8.76E-05,0.00010583,1.68E-06,1.44E-07,0.00221305,0.002206507,0.027220843,0.027291072,0.000371803,0.000294203,2.40E-07,8.70E-07,2.33E-05,2.09E-05,2.79E-05,3.57E-05,1.32E-06,1.07E-07,0.174441493,0.174502267,4.06E-05,4.28E-05,2.65E-07,1.67E-06,0.023179661,0.0231326,0.000119773,0.000125078,0.002359471,0.00234974,6.23E-06,1.63E-06,0.001720135,0.001930136,0.122398837,0.121845472,0.000680418,0.000681422,5.81E-09,4.95E-09,9.65E-09,3.69E-05,7.72E-06,1.03E-05,0.000201061,0.000201673,2.98E-05,3.02E-05,1.44E-10,6.46E-08,7.75E-08,3.46E-10,1.71E-17,2.99E-10,2.18E-08,0.000570283,0.000571702,1.67E-05,4.86E-06,9.46E-06,5.18E-09,9.20E-09,5.01E-05,0.000454846,0.000404038,2.06E-06,2.06E-06,5.83E-11,1.47E-13,1.63E-08,2.97E-07,1.14E-08,1.11E-08,1.53E-07,1.53E-07,7.30E-09,7.14E-09,6.90E-11,1.62E-12,1.99E-06,1.98E-06,4.45E-09,4.49E-09,1.03E-13,4.16E-13,1.59E-11,7.50E-10,3.25E-09,3.30E-09,1.41E-11,1.40E-11,5.07E-14
10000,0.047487036,0.014438474,0.017417815,0.0531455,0.104934075,0.038773948,0.032394955,0.011356499,9.67E-05,0.001498755,0.010370917,0.000532643,0.065060164,0.030116929,0.036378776,0.013179629,0.001517385,4.08E-05,0.14726645,0.055528787,0.006496686,0.001782553,0.00304898,0.011836199,2.02E-06,0.007455466,0.037630196,0.001812336,0.092024617,0.026643269,0.048890813,0.022721145,0.003100643,0.047045769,4.66E-06,2.05E-06,0.000590787,0.000536972,0.000789637,0.000624134,4.87E-06,2.17E-06,2.66E-06,1.31E-05,5.88E-06,1.67E-05,0.00018803,0.000215556,0.000424109,0.000419398,1.29E-05,2.50E-06,9.66E-06,7.11E-06,1.07E-07,9.82E-08,0.0005762,0.000517634,0.000575533,0.000597701,2.00E-06,7.91E-06,4.55E-06,1.20E-05,2.12E-06,6.15E-06,0.000400191,0.000540428,0.000375276,0.000435574,6.31E-07,1.40E-05,1.69E-06,1.29E-06,2.78E-06,3.74E-06,3.69E-06,1.59E-11,9.27E-08,9.06E-09,3.53E-07,4.94E-07,1.15E-07,1.19E-07,2.43E-07,1.62E-08,2.66E-08,7.26E-08,6.90E-09,4.16E-13,4.10E-06,1.21E-06,1.26E-06,2.69E-10,7.54E-08,5.84E-09,3.55E-06,3.60E-06,6.17E-07,7.88E-07,2.10E-06,7.86E-09,7.94E-09,8.09E-10,2.65E-08,2.47E-10,2.47E-10,1.28E-10,2.37E-10,1.02E-10,9.12E-10,8.19E-12,1.88E-10,5.88E-10,1.95E-08,7.57E-09,7.65E-09,2.40E-12,5.29E-11,5.91E-11,5.70E-14,7.70E-13,1.06E-12,1.75E-12,3.89E-11,3.69E-16,2.33E-13,2.29E-16
1010000,0.032562155,0.031603309,0.061836597,0.001034241,0.012856493,0.001310354,0.001133758,0.129531562,0.017306832,0.000544137,0.001850147,0.031028858,0.031017293,0.015130805,0.008232284,0.131151185,0.000901229,6.65E-06,0.001729763,0.05578592,0.016056648,0.007120425,0.001102164,0.06906973,0.019113228,0.014724607,0.008456617,0.0809607,0.043419135,0.006112773,0.001541277,0.094223938,0.016330963,0.050195673,4.68E-06,6.38E-07,0.000420741,0.000423526,1.82E-06,1.45E-06,5.85E-06,8.86E-06,6.44E-07,8.10E-08,9.66E-06,8.65E-06,6.33E-06,6.62E-06,0.000564177,0.000567322,1.02E-06,3.77E-07,5.18E-08,4.23E-08,5.04E-06,1.52E-05,0.000403172,0.000401212,1.13E-05,1.17E-05,7.70E-07,1.96E-06,1.14E-05,1.00E-05,5.83E-06,9.82E-06,2.72E-06,2.65E-06,0.00055026,0.000537403,1.64E-06,1.64E-05,0.000172647,0.000176278,2.10E-06,4.64E-14,1.66E-11,2.01E-09,2.42E-07,6.93E-07,5.16E-05,4.84E-05,8.54E-10,8.90E-10,2.30E-12,2.93E-08,1.50E-08,4.64E-13,1.46E-11,4.17E-06,9.32E-08,0.000142938,0.000148284,1.53E-08,7.52E-07,1.94E-07,6.57E-14,9.36E-12,5.45E-06,0.000114155,0.000115698,9.36E-07,9.36E-07,3.34E-09,3.33E-09,2.91E-08,2.91E-08,1.61E-08,1.61E-08,1.66E-08,1.67E-08,7.62E-09,7.59E-09,4.51E-09,4.51E-09,9.01E-07,9.01E-07,2.55E-09,2.08E-09,6.68E-18,3.51E-12,7.06E-11,1.47E-10,1.47E-09,1.94E-09,7.48E-12,7.49E-12,2.72E-14
110000,0.000524742,3.37E-05,2.87E-05,0.000701601,0.000286665,1.43E-06,3.95E-05,0.000622696,4.86E-05,0.000194235,0.000158852,2.89E-05,0.000549823,2.21E-05,1.67E-06,0.000138093,9.89E-07,0.00041882,0.000837219,0.000191582,6.94E-07,9.19E-05,6.97E-05,0.00011633,0.000206705,0.000187397,4.58E-06,0.000166092,0.000488776,0.000110511,0.000758892,7.71E-06,0.000177573,0.000689504,4.45E-06,6.82E-06,3.98E-05,0.00018469,0.175701765,0.175935813,6.56E-07,5.03E-07,1.45E-07,2.90E-06,0.000326849,0.000244913,0.05053001,0.050969564,5.22E-06,1.76E-07,2.06E-07,2.09E-07,1.70E-05,1.98E-05,4.92E-06,4.63E-06,6.27E-05,0.000184675,0.147090457,0.146424121,2.56E-06,4.63E-07,0.000200089,0.000178421,1.28E-06,6.06E-07,0.118076953,0.117824516,0.000206912,0.000175376,2.05E-06,2.63E-09,0.000670773,0.000671737,1.73E-08,0.000956718,0.000951316,5.13E-10,1.56E-06,1.70E-06,0.000191956,0.000192971,2.83E-05,3.06E-05,6.12E-05,8.02E-08,5.61E-08,1.87E-05,1.83E-06,3.37E-10,1.74E-08,0.000559922,0.000560312,9.88E-08,1.59E-06,1.56E-06,0.000914985,0.000922472,5.20E-05,0.000449359,0.000396531,3.61E-06,3.63E-06,2.37E-06,2.34E-06,1.13E-07,1.11E-07,4.58E-08,7.97E-08,4.50E-09,3.32E-07,7.13E-09,6.68E-08,1.74E-06,1.72E-06,3.48E-06,3.50E-06,8.97E-09,8.91E-09,1.53E-08,1.31E-11,2.71E-10,5.68E-10,6.59E-09,6.54E-09,2.74E-12,8.30E-11,1.05E-13
1110000,4.41E-05,2.42E-05,5.35E-05,3.26E-06,1.18E-05,3.21E-06,1.14E-06,0.000161435,1.35E-05,2.44E-06,1.08E-06,2.53E-05,2.19E-05,1.28E-05,5.55E-06,0.000122283,7.20E-07,1.09E-06,4.28E-06,5.44E-05,1.81E-05,1.29E-05,1.35E-06,8.53E-05,1.10E-05,2.06E-05,5.96E-06,6.11E-05,3.86E-05,4.13E-06,1.08E-07,9.93E-05,2.58E-05,3.24E-05,0.00051603,0.000510758,1.59E-07,6.52E-07,0.000671529,0.000677598,5.57E-06,6.39E-06,0.000114,0.000111885,8.46E-10,3.94E-06,0.000196285,0.000192284,1.43E-07,2.95E-07,1.99E-07,1.71E-07,9.37E-08,8.81E-08,0.000666225,0.000676336,9.24E-08,9.75E-07,0.000569615,0.000556002,8.04E-05,8.45E-05,1.96E-06,7.94E-08,5.99E-06,7.01E-06,0.000445414,0.000453388,7.46E-06,1.35E-06,0.000499848,0.000507305,0.176687951,0.176683738,1.43E-07,3.49E-06,3.47E-06,3.21E-07,0.000428389,0.000429612,0.050640877,0.050640714,2.67E-06,9.23E-07,2.41E-07,2.03E-05,2.03E-05,3.53E-08,1.24E-09,8.25E-08,2.90E-08,0.147435073,0.14743265,2.51E-05,0.000428125,0.000407099,3.41E-06,3.44E-06,0.013450783,0.11812751,0.10467227,0.000954198,0.000954184,8.84E-09,8.72E-09,2.97E-05,2.94E-05,1.62E-05,1.62E-05,1.72E-05,1.69E-05,7.78E-06,7.72E-06,6.60E-09,6.85E-09,0.000918437,0.000918418,2.36E-06,2.36E-06,5.79E-11,3.45E-09,7.14E-08,1.50E-07,1.73E-06,1.73E-06,7.69E-09,7.61E-09,2.78E-11
