,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
Energy Eigenvalue,-83.345028174446,-82.74573574988773,-81.80445038417778,-80.8935571144067,-78.759730747243,-75.15550086738631,-74.5154602278351,-74.01123029285525,-59.37984411358114,-58.47662455782672,-57.527879712357986,-57.20151028348418,-56.760767066279385,-56.503791816738605,-56.02629204787027,-55.74911590025022,-55.345971492055675,-54.82801954402594,-54.44063916606169,-54.060750693625124,-53.47382519466675,-53.06098173173453,-52.47456455745197,-51.96357519151759,-51.85366096625163,-51.64511401627913,-50.918533636508826,-50.6604900556552,-50.48347316546477,-50.092905048091126,-50.062287997010486,-49.90549059919092,-49.57446773239924,-49.18605752470747,-49.018392005157665,-48.96400287446125,-48.502432224324664,-47.982745484019404,-47.76379850392558,-47.718572215440865,-47.565057655148095,-46.85899493277573,-46.58882100218872,-46.07599661744203,-45.81074200518811,-44.75483029617568,-44.37044341961915,-44.014972725969784,-43.55598343458067,-43.18317821973506,-43.109480433649914,-42.91021133721217,-42.6697773837519,-42.518123205331655,-41.9218826086356,-41.74928253126872,-41.23643804892031,-40.558997270028144,-40.154381158268436,-39.21668060341236,-37.00250568688203,-36.79124693774324,-36.07467884613989,-35.31135857648604,-31.423532292715656,-30.759085321707797,-29.942904755748216,-29.189904114131014,-28.786065838326543,-27.730671342928506,-27.299661043734172,-26.988123937242104,-26.122102949182363,-25.324867522099506,-24.933456260441023,-24.425504368650177,-24.11326789908319,-23.98350962628028,-23.483363612475834,-23.42457160983871,-22.91026530477175,-21.84557766380632,-21.23215817492068,-21.130837207669877,-20.723642304719437,-20.385741709868185,-19.82044762276744,-19.408503608707694,-18.70980536167016,-18.36542162529485,-18.02699835051695,-17.988576050072083,-16.948932321790306,-16.817858420900183,-16.258834326235228,-16.04674748974229,-15.743128383933403,-15.241482416109887,-14.966007996810701,-14.356366618057638,-13.920701726469911,-12.586519027288865,-12.541187954284078,-12.02425745776685,-10.913107187391596,-10.75182103617273,-10.543629612830733,-10.375641094886085,-10.205342506033524,-9.506789545812932,-8.79731294606898,-8.498721394719631,-6.423183549407661,-4.976300646512834,-4.918909841057547,-4.410665211069156,-3.785747319515554,-3.179067000321339,-2.33241635861294,-1.4481420904785256,1.188568007938709,2.201551356549382,5.726481994277087,10.900877645386824,16.244137336814454,21.603053126672382,27.00460368438567,33.170582966026885
Probability,0.1304700094558237,0.20925518316719482,0.11826106585740133,0.014671934865769346,0.49596823233042203,0.00210281824442939,0.0022299136197466447,0.0007170769219626894,0.0017112376082722527,7.127964031210052e-05,0.0004576230801042734,0.0004954989193233719,0.0023479096171630186,4.316856732534091e-05,0.0034472554449850065,0.0001561871404312247,0.001599144873972165,0.0007591282876240293,0.00013269416417677993,0.00033314503320144417,0.0013701222142675992,0.0008013441413164782,2.798995640732509e-05,0.00387938219647441,1.6605920548959398e-05,2.915809062762502e-06,1.4519926129050087e-06,4.608945823559263e-06,2.1555991029452756e-05,4.678682949454775e-06,6.2205209389059106e-06,5.945413287536222e-07,6.269285360798911e-07,1.4021680592692845e-07,9.23476057724895e-07,2.8254174064408114e-05,1.903464555285749e-05,4.47993017251372e-06,1.6145481010420972e-06,1.9834719493854283e-05,3.5222169332721786e-06,5.625285007289025e-06,9.173894037904686e-06,2.1679823688427273e-06,4.729904906679295e-10,0.0014762793768984112,0.00032021071959922154,2.2222496496026102e-06,9.973631114425652e-08,0.0006227720926382543,9.533910397917549e-05,0.00016884359078578242,0.002318691317555066,3.988360123446195e-08,0.0002463377609043238,1.8929901315746676e-07,2.9656667596017068e-05,0.0022276421334121188,2.3030242854560473e-06,0.0007892734527452094,2.344089582240236e-05,6.254497840561725e-06,3.617453933615812e-07,1.0929711086188538e-05,2.6337893172798253e-05,7.959314496755725e-09,3.0606334505902786e-06,1.1445482035792433e-07,3.094527977278215e-05,1.38878791222726e-05,4.516482149749685e-06,3.781065731897381e-08,2.858554322667598e-06,1.123106570823363e-06,2.1288402234057446e-05,1.288368709852959e-07,2.022161603125773e-08,1.0582786700613174e-07,4.855055698870842e-08,4.8233400937920014e-08,5.2252868850333235e-08,6.735962357471558e-08,1.273183954855077e-07,7.211776459191966e-08,1.922930342174247e-09,8.701678445686443e-08,2.982577503790645e-08,9.131790591405776e-08,7.399903403243547e-09,1.1025996314478901e-05,1.599791817026489e-05,2.683757438857952e-06,1.1465136124439776e-06,6.216109933790076e-07,3.117925755572119e-07,1.7338013218728147e-05,3.072468227283171e-09,2.345643039339967e-06,3.6269888788655355e-10,5.295958446859557e-06,9.053924584886949e-06,3.1193212866227672e-09,8.151329561313255e-09,5.201732247308932e-08,3.804743601958021e-08,2.345541520016687e-09,7.527462120514855e-08,1.468810705122386e-07,1.043451795826367e-08,2.009761154471615e-08,1.327881757081653e-07,1.3763505637925616e-09,3.831938670578294e-06,6.629716323557935e-11,1.0000864441491742e-05,5.3262007306999e-07,1.0337016079009993e-06,3.1830409023578094e-06,5.327522832728652e-06,1.4366406449435204e-07,7.542350926758906e-08,6.144502891981414e-08,2.253892828607955e-10,9.539483396094861e-08,5.151301342261757e-13,4.6028598239300935e-08,2.4404447176152938e-11,2.2782478254841627e-08
0000000,3.8559595137286273e-07,2.683561853120232e-08,2.053021800610005e-08,3.8657562846671026e-08,2.9832744196571834e-08,1.3050202178268615e-08,1.730460387083526e-11,2.2980046903471116e-07,5.041323100257114e-05,1.696114123163057e-06,2.870940927790295e-07,3.381854705102588e-05,9.071377995253074e-06,5.459081798726479e-10,1.388964826794563e-05,2.223172856320065e-06,2.1605350820843317e-05,7.887809354760004e-06,2.6812741986562205e-07,1.043343700345189e-05,2.397746337444397e-06,5.967598026215018e-06,1.2843881172684306e-06,7.544214537345733e-06,6.798147235177261e-07,2.199622926817974e-05,1.079415694950581e-05,1.8355183325986652e-06,2.0732771378204487e-05,2.857371804332138e-06,1.940569673053735e-06,4.161739821628768e-06,2.8525067565657652e-06,6.456529096667292e-06,7.20848243036833e-07,7.364142105733461e-07,1.673853808505014e-06,9.746351606364192e-08,6.781676981297945e-07,1.5267589630766102e-05,6.557940844671405e-06,3.6864356955037504e-06,1.456086451368565e-07,4.670572276326726e-06,3.953820118796904e-06,1.369875533458873e-06,5.9443242343505426e-08,3.4635198373411944e-06,6.639028015792628e-06,7.406254370943882e-06,4.818293140155699e-07,3.4838916955633128e-06,1.27434983127368e-09,1.6742417281451342e-06,1.2280170041004135e-08,7.398927467516502e-06,1.0131275289088603e-08,7.743465086841045e-08,3.4056528018626294e-08,2.7975584878244506e-06,1.723936946364263e-09,1.8257761204567395e-07,7.395586862525917e-10,4.833251583415393e-06,0.005458880760888752,0.00010157011503684541,0.0022757619820399626,0.0003503826476604156,0.0010511148271162263,0.006720136622463592,0.0026203291856040957,0.0002062568617258629,0.0006741521433309338,0.0003572011005991434,4.58043148684691e-05,0.002265153380001173,0.00012752636081684684,0.0001541096678964289,7.423505559361719e-05,0.001464116158978879,6.823523215026815e-05,1.2446375280335781e-05,0.002428260911903269,0.00023762835402502065,0.0022242725977605882,5.495860219406819e-05,0.0008414484937163878,0.0002881438231405496,0.0003095103406934987,2.1958080721489088e-07,0.0004619944188810143,0.0002573228370490134,2.724579521057407e-05,2.2401575047579678e-05,4.7589618387883524e-05,2.6886923773940973e-06,0.0007817989116466062,4.701325935362932e-06,0.0003285579533356542,0.0003809277540004633,0.00015257764231492972,0.00010657861444966913,6.15098361057006e-05,3.655538537566985e-15,2.5025010830243235e-07,1.1530564431381272e-07,1.3813379079245046e-05,0.00015273416435900396,5.848826035272532e-09,2.447047828417686e-07,7.047268669594654e-05,3.5460299962679684e-05,2.289692413793417e-05,3.333843943899862e-05,5.519293202841137e-10,1.3895295891067724e-09,1.4242962889613845e-09,4.072317915266997e-09,1.2130804887515764e-06,0.3774310571932316,1.6774605151377253e-05,0.5560405474532469,0.032365002677613434,0.0004397150998300278,6.546286754748735e-06,9.565193012768953e-08,1.3417114960308228e-09,1.3059916918104672e-11
1000000,5.812438091239217e-05,5.207707218026498e-07,4.005001378047556e-07,2.8416889532903327e-06,5.945477243697113e-06,1.3264096216416069e-09,3.128750544671065e-06,2.762884825981414e-05,0.00211366407487553,0.0010931086936570747,0.001988519835476357,0.0002844036197909942,1.2383909095133645e-05,0.00047378166136151004,0.0008971960026929374,0.001359283470997376,0.0011628163831758833,0.0016742897908351647,0.0009193235662042132,9.241933043005373e-05,0.0001971483053018089,0.0009236677998837573,0.0003874794109434969,6.22086814622977e-05,7.190468750906457e-05,0.0011403571068425641,0.00019919522887816,0.0007734680016063301,0.00038404959120533574,0.0003369087470918475,8.099995712732763e-05,3.4712473115258066e-05,0.00028412542528218017,0.00014119299230196748,0.0013034994437972247,0.00012281631149705364,0.00030926124258177625,3.954273690465427e-05,0.00015957174573460371,7.571483168898785e-05,0.0001515530156863738,0.000797722403933214,2.0778037539064576e-06,0.0005127496262657055,8.452678151283594e-06,4.28281755885779e-05,0.00022601794477312992,0.00042162306209651216,0.00021422782225936484,0.0003682380405512734,1.2722078775923386e-06,6.943380417104684e-05,3.6820529766934284e-09,0.00013333495244941904,1.3273207837884927e-07,6.945612162576444e-05,3.4690626178679256e-06,3.0843856965144506e-05,8.041582671215401e-05,0.00010116091973211665,1.4028044262814119e-05,4.5539914617156146e-05,5.8575925195679035e-05,7.810453218267985e-05,0.009581799578796046,0.039220379932390845,0.07646085352397751,0.11586666632818919,0.10311482269426676,0.017587712355051736,0.0022050144441742732,0.06687734876235556,0.1371966555877457,0.2509966212079292,0.031933396768759024,4.785414459315501e-05,0.00030807265639354976,0.0020386824537176845,0.02990079343655372,0.004465080169108925,0.00828930691411625,0.01760078896863887,5.78453879208427e-05,0.0008433703168897376,3.0552271008161606e-05,0.00017394154055396261,0.04981171944669595,2.625544854807657e-05,5.3169332083042026e-05,8.837387793825095e-05,0.0014714865413875176,0.000133675091639144,0.00020850041701688484,4.637510459801044e-05,0.002653660059160788,0.0001550795939364553,2.8763710374022606e-06,3.2512140390497103e-06,4.8819013626159616e-05,0.002281577365549652,1.6659277719503054e-06,3.850247146039411e-06,5.8827134073185914e-05,2.3422847229280227e-06,3.491685500822508e-06,4.6772479988227126e-07,0.00011889055909277679,9.601913740241578e-07,1.306125447583131e-06,1.51079153875884e-06,6.001790202073886e-05,1.5207832593670783e-06,1.9927669172966885e-06,3.223950250501705e-07,1.4816751890576945e-09,1.0997705419980945e-08,1.809710723892694e-08,7.086246573868619e-07,9.746353183968872e-07,0.0020816403945005035,7.165370847387234e-09,0.0030672339615388164,0.00017852864392526167,2.425555184210117e-06,3.6106764933354126e-08,5.328482115356377e-10,4.919416867886595e-12,1.2751135781167722e-12
0100000,8.870166814624306e-07,2.8466812124469575e-06,7.482950000933499e-06,1.8986882262936473e-05,4.193859807071436e-09,1.013519974978849e-06,1.153535771276876e-06,6.08262746170768e-07,0.0021676136943267477,0.0012057062939465903,0.0006918171642556438,7.659588754304604e-05,0.0013015457733961653,0.0011246905915124124,8.593654175467668e-05,6.041928747780373e-05,0.00048009377532151615,0.001016649922719813,9.660711826077214e-05,0.00024032076265385264,0.0011012115716191805,0.00010977442011918812,0.00019613660694546345,6.333810851241568e-05,2.9201996464506023e-05,0.0008235866333482495,5.605527739380218e-06,2.0796129617491713e-07,0.0012609969556947283,0.0010416508997677387,0.00045109799967779066,0.00018887204738932646,4.495544152283086e-06,0.00028990394429167837,0.00019065214533743214,4.30558242618364e-06,0.00016396617562899318,1.5586647273604348e-06,2.877774612890242e-07,0.0003236490373234815,0.00027048678010805895,1.0256009160002107e-05,2.536896079737144e-05,4.5820550644706075e-06,0.00045206330695859136,3.9649329347875134e-07,5.341598696493819e-05,9.655545284723138e-05,9.174002294529792e-05,0.00017615430277453725,1.107245862647766e-05,0.0001452135290937443,1.5569567618150953e-07,0.0001972188934875135,1.1720099514116954e-06,0.00048710491075150815,3.0592757218866982e-09,9.5243276931165e-06,3.0895828359945227e-06,4.148868412625121e-05,4.346325315452558e-06,9.472819810782526e-06,9.878445927723885e-07,7.083621578310975e-05,0.07950452197830327,0.10472587198341159,0.014030764630486928,0.02807824169923276,0.09042319827764907,0.13831595264173,0.004589169649528259,0.1413077736380088,0.0056824440510151114,0.13594210171952437,0.04008875097252842,0.021999202810803413,0.016297504833625916,0.01712272288954813,0.015180498066001613,0.0036630592733781827,0.0032175869697561874,0.0083317934218613,1.4478913019495411e-06,0.0010095260303827332,0.03939311391722927,0.021246982783733576,0.02731166150430106,0.00014336699303678932,0.0018537064598632576,0.00012091224911682104,0.003546295856633219,0.0008372260921024047,0.0010595858172486874,0.0019220448475652495,0.0013390977842871548,3.809870021153856e-08,5.676173267846778e-07,5.0955157185092405e-05,0.0020547363457875303,0.006088118152230612,6.99256318682594e-05,0.00010467708300615286,0.0002748942088422281,7.717055431135786e-08,1.013136328942236e-06,1.2864347885881267e-07,0.0002779364174021308,5.0753892698471825e-06,1.276568236190197e-06,1.1904534178110552e-05,0.00029979478790991107,3.602725950864659e-05,1.5450413821731097e-05,1.244082382887874e-06,1.0884724475301261e-08,5.362325771064233e-09,5.188451058148433e-07,1.553829371871688e-06,6.217262238674725e-06,0.002115543796418578,8.602918839925109e-08,0.0031179348538717634,0.00018147281170299647,2.465173743490114e-06,3.7089745515910455e-08,3.4433771711586067e-10,9.38482707661132e-11,8.626914794988376e-12
1100000,2.097828648556236e-06,1.3774149901299002e-06,1.2559093016578135e-06,3.7325117222293897e-07,1.175662526611919e-07,8.351517556066303e-06,1.6353516815080963e-05,4.164703473089189e-06,0.0007721773571834064,1.0184607208897114e-05,5.757835475307626e-05,1.1377294456156804e-05,0.00029039534117281194,0.00017620963682258117,3.3087041902398907e-07,0.0001999035278935767,0.00021760415639959432,1.5251596508358753e-05,6.039221378705548e-06,7.158629818285421e-06,4.372482654617879e-05,5.736492524891951e-06,1.8937700892407452e-05,1.2085067486470924e-05,0.0033618519660746156,0.0009976133747761629,4.775113730801019e-05,2.2687146926552415e-05,0.0003852001989817484,2.203349839428987e-05,2.391971164073601e-06,4.846091050058852e-05,0.000270210153143771,0.0024745738194111543,2.1108867236882854e-05,3.6907028021301e-06,2.9143761946631055e-06,3.7639307446379604e-06,0.0008099139280792286,2.9181644015207625e-05,0.0006223202355037608,6.474993029379717e-05,1.8171770002540001e-06,0.0006870989230693329,4.884822853200117e-07,1.0959168630975795e-05,0.0005332653429128291,0.0001986056048123365,0.0009634054866833012,0.001383046853384929,8.499016720136087e-05,0.0007358328800361642,1.213207197001853e-06,3.308629973052138e-08,7.902388740299406e-06,9.725568734095933e-05,5.349139733584145e-07,9.830683989058836e-05,2.5364805024255756e-05,0.00042670110358974033,4.57015216078993e-05,8.698392444640101e-05,1.649110022247024e-05,0.0007087905410825146,0.013562434159623854,0.02720773795171276,0.01954720980427036,0.0037557297452238715,2.5003816162876135e-05,0.023916638743695273,0.0009772275098835197,0.042063118567043305,0.02514887180630787,0.0021442456694845927,0.00011905661058407127,0.0013342084727661794,5.4931032388589965e-05,0.00310024123125538,0.22311248477889686,0.05345112888660594,0.002538876016800182,0.00023445839398069133,5.216326514582547e-06,3.226530901981277e-06,0.0025192873403528304,7.544571700305351e-05,0.4055946208938671,0.0005319996736229012,0.0002962130961308834,7.042094485673733e-05,0.038056387058327264,0.0031185862457265403,0.00010915242067365993,0.0004217683911600378,0.021594896954066127,0.0003492733443485329,9.013437052536783e-07,2.437659016092522e-06,0.0002733578203059308,0.05898259272802939,1.4898214184294407e-05,2.3404955431708675e-05,0.0026272569837555914,4.613995411692817e-06,1.0131063233856666e-05,4.028785131148073e-06,0.0025721548540326654,4.2561029403416425e-07,1.764102669185541e-06,8.662932865911301e-06,0.0028215797886577366,1.0672110127700247e-05,0.00015914766968956257,5.568531776311882e-07,6.620196727791982e-08,7.071941374258072e-08,4.140851387520968e-06,1.459551693798163e-05,5.784544291906624e-05,6.911583986157401e-05,2.9366456302311135e-06,0.0001025082654132544,5.959322676577446e-06,8.091010883919643e-08,1.2078472522591685e-09,1.711210793004455e-11,5.671157648988452e-12,6.243810900493444e-11
0010000,2.9992383177926746e-05,5.269292562203926e-06,4.155973779057123e-06,2.086381054956851e-06,4.098896753576214e-06,1.1876719157061586e-06,8.226532744049927e-06,8.772195514590844e-06,0.00018572308792665925,6.500625282464132e-05,0.000175816505584203,0.004136461403596989,0.00025430736514019375,0.0005557467208708353,0.002590857840822812,4.5163449048606934e-05,0.00019946742501267975,3.400746977963688e-06,3.828269540726572e-05,0.0005257099251714938,8.358322157953873e-07,0.0020443828412888485,0.00040197833857027614,0.0008653291751237332,1.3437058696832739e-05,6.191734750344079e-05,0.000491230399672695,4.6369121992069606e-05,0.00015475926141569833,7.469933526345879e-06,0.00010946853225316139,0.0002123440828884194,1.377455166857203e-05,2.666880966986817e-06,0.0004690017210644678,3.890076457688835e-05,3.250011994259748e-05,7.477739105997761e-06,3.1813671714694184e-05,0.002292350256524157,1.4194694223650246e-05,0.00022404428946199047,3.711170414428114e-06,3.5067150672402514e-05,6.113689224600336e-05,3.167967103937937e-05,2.7141962066167766e-06,1.1830848966577041e-05,1.3424915752957743e-05,7.160978148105291e-07,7.97242711192805e-06,3.247967053152868e-06,5.103218920294497e-09,8.843247788054397e-05,6.937004022952276e-07,0.00020175692765053458,8.683019409663229e-07,7.6029963599389275e-06,9.671804611290465e-07,3.041784567821385e-06,1.2799348478038875e-06,7.518448157582126e-07,3.905534606144296e-06,5.962501481313118e-06,0.11868944274806285,0.0012218832924567448,0.11421765707305188,0.0030853979856390527,0.07766597601809896,0.17384146461625327,0.002587662638776538,0.019379415853852555,0.1671141842850281,0.03266362265384968,0.06129571124242182,0.062082648612413166,0.003076428903304969,0.00306750763889577,0.00036404398984295547,0.008135267161490078,0.011265018774582908,0.0008036873153019991,8.00113329860792e-05,0.004631461353632679,0.07577786510925698,0.00540241167044986,0.004668467908855902,0.002980109757654312,0.00620365428217951,2.8078813654503427e-05,0.002036614627602734,0.002217758591665136,0.0006659717945245727,0.0007412742227478012,0.000263947068406894,6.322791455994495e-07,9.019568052305058e-05,0.00024262738133586084,0.007071511689829839,0.0013765530287661325,0.0011470885795365387,0.0006230051902936094,0.00021276779832979788,2.2947056584100516e-07,1.429661792774578e-05,4.66534082376317e-07,3.946879129146183e-05,9.318077653930213e-05,1.1758122901793184e-05,1.3065044187460676e-05,0.00025369180218459247,0.00022193037990881994,2.1824988312839465e-05,1.6040292045909556e-05,3.0693904647998167e-09,7.382873394323641e-08,6.321429701982869e-07,2.188770982491546e-07,8.645154757039531e-06,0.0021173177579455124,3.135138685729729e-07,0.0031209250284417907,0.00018161354482197333,2.495644543267197e-06,2.290495826274287e-08,6.98011358026082e-09,7.559414120851082e-10,2.5971965765834235e-11
1010000,0.005255218137337433,0.0009530254475137302,0.0007722159550942785,0.0003202397599170887,0.0007239910655121317,0.00019289205472957047,0.001501225909015534,0.001511412037895912,0.0029819769609592452,0.018589073864854016,0.001733853584982494,0.030285702950901525,0.052359010421030486,0.10781562529110075,0.13074316875620398,1.8025153202656653e-08,0.011379343944547196,0.0007288768350094501,0.034120768064227494,0.0001527309047043467,0.001374083974403237,0.22154914111017027,0.20498492117575165,0.026728762564042777,0.0001994789717249632,0.0038559476128565604,0.0009164914176841073,0.03273205537903236,5.763797441671412e-08,0.004362552451330712,0.004928136481388991,0.010374237988094429,1.4972276537870116e-05,0.00015991917578930261,8.048134623308569e-06,0.011893286706875077,9.57248044092235e-06,0.0015692241946832091,0.0005360748702898253,4.160636587621543e-07,0.004079520956800628,0.03448500963889832,0.004051410235119808,0.006846552224619094,0.00132443395312358,0.0005808110382232797,0.003411530475361392,0.00012282107514325152,0.00032454714940851524,9.252211638399425e-05,4.053613275018805e-05,3.5917352100360405e-05,2.3777442180736162e-07,2.4524619455588235e-05,0.00018322524581966526,5.6162964763789975e-06,8.526974506699698e-05,0.0006467602321456041,0.0008560012332735529,0.00012991668653019,2.3806186886088235e-05,6.715172850056374e-05,4.112851497389829e-05,5.0937774253571644e-08,0.001556740909590256,0.00030361861682074614,8.599536678435782e-06,0.00041645155267995933,0.0019805864906278477,0.002426516232278413,7.15270484054823e-05,0.0002204989358129755,3.473636737911919e-06,0.0024950117607082664,0.001004167238285292,6.143194683015404e-05,0.00025027449934844474,7.753348290617645e-05,1.8538068173216063e-07,5.1684249164039304e-05,1.2020870774011284e-07,0.00013867357209751036,2.3339742438633595e-07,4.31055835806153e-05,3.088052726494208e-05,0.0002673118827736204,1.1614086678666087e-05,1.7404212041231278e-05,1.6730746064643964e-07,7.500875403930721e-07,0.0009456464774481843,1.1955580904472265e-05,3.998727247110781e-08,1.6356405259505258e-06,1.2297674997752332e-06,5.330173460680942e-08,5.046435948253099e-07,1.6494469238493234e-06,3.5156614531539246e-07,0.0013464532733832011,6.085480651168806e-06,7.023161022523824e-11,0.00016953305413749544,4.289543975730449e-08,7.530180349736312e-06,7.411209199993836e-07,4.036882421362097e-05,5.760889107938588e-07,1.994022031114808e-08,1.214981574649244e-08,0.00019388802177108778,1.0691840656505619e-08,1.7192260194570087e-05,1.165318422546898e-09,1.1289340835515531e-08,6.265060907206295e-08,3.8845517130655587e-07,2.2559459614326633e-07,6.2678740933650505e-06,1.2235224704767497e-05,4.7402214999814004e-07,1.813020668364137e-05,1.0538195215011673e-06,1.4471601211976603e-08,1.308002327662866e-10,4.5113437678702565e-11,5.242056907431916e-14,1.5688367169291405e-11
0110000,4.712635978657147e-07,5.045365765757361e-09,5.634441985268132e-09,4.079825426663455e-07,4.4003446991586085e-08,5.202801100264691e-08,3.807774409748692e-08,1.5920369878244922e-07,0.00019328595414343434,0.0002587221749513341,5.20771207740638e-05,0.0006307265025322668,2.6369773416844536e-05,6.322756987874223e-06,9.316022499494601e-06,2.1252704282200554e-06,2.1948366949819137e-05,0.000109799088423271,3.63301230617155e-06,2.8051278690776975e-05,4.6121471526259084e-06,5.022138369076859e-05,1.0332757688699503e-08,3.7085043878230396e-05,7.830297660515303e-05,7.815323664344767e-05,0.003911424376658337,0.0004460753681600086,5.412976196833817e-05,0.00040320198653345655,0.00017110891261319495,0.00022027461779868462,0.00013209090876892423,0.00017051259682441657,5.776626040309664e-05,7.602056051464229e-07,3.4187001164794955e-05,2.0877148494059227e-06,3.158479826389785e-05,0.00016232735971802832,3.4669404482179547e-06,1.5052489247012604e-05,0.0004427298084831325,4.8777251023017205e-06,0.00011363222064249498,0.0004115368909587335,0.00017965193048883482,3.956274628826485e-05,9.986491331666736e-05,1.6261675037363803e-06,0.0001236796605998292,7.720641601200916e-07,8.215897088739842e-10,0.0006888101344412869,6.860524228281225e-07,0.0016397458965439426,6.038574373618606e-07,2.772043929948362e-05,4.045093746537852e-05,8.230447040944562e-06,2.0471326036165694e-05,2.1437695652177812e-06,0.00017312112736232293,0.00012750962717720239,0.040711068141796,0.009643375370366416,0.006766405294152817,0.009509784815986438,7.127800253323433e-05,0.06489359218066348,0.0016614732154497983,0.006724927270170467,0.017015591177955296,0.006759839748020653,0.00032790670748783317,0.11142334612277702,0.1251484851429653,0.0005310739531092818,0.016479514503575675,0.0018112185406485787,0.0003469863812861829,0.0006333385689871971,0.00011307754926223922,0.00041794317006655724,0.21053442154703456,0.12312994208115716,0.02638548633843534,5.602559947108192e-09,0.04551132730210708,0.00019581018005246318,0.02443220445443366,0.006155156629067573,0.0062421164493869285,0.004926555453076484,0.0018787700843929988,4.5503692648811235e-06,1.0511027429664009e-05,4.214707403228782e-05,0.0526890184441682,0.04258748509898302,0.0005550293985434505,0.004608415695028759,0.005948574586515159,3.7206644115409226e-07,0.0002957660311906646,1.7037253280955684e-05,0.0013091862095059629,3.0363287256109284e-05,7.589641056464557e-05,0.0001108933287235864,0.006946630005882955,0.0016161309236531736,0.0006264485729016187,0.0001322361529078858,6.932597354528751e-08,1.6605185495630646e-06,1.5622857328829057e-05,6.743762733639574e-06,0.00022708314427521178,7.232077826016756e-05,1.8005338860702435e-05,0.00010799925348291342,6.263789639901207e-06,8.524523363928205e-08,1.227665701636353e-09,5.151003970286767e-10,4.210070387882669e-09,5.729550042880102e-10
1110000,1.626851424879018e-05,2.4763545358518196e-06,1.9416213512869085e-06,1.144653182336721e-06,2.1924371337618353e-06,1.9788382747506638e-07,6.451083561116528e-06,3.4095877632339464e-06,6.519707250885479e-05,1.1563681041075295e-05,2.4235869551438408e-06,0.0001869305200938226,8.530858658046153e-05,0.0003843954230676797,0.0003555694847617041,2.2463852571344e-06,4.854031722071452e-05,9.232905341179224e-06,9.014962642947923e-05,1.2836779751243514e-07,3.500770278877444e-06,0.0006693816956681422,0.0006030267812465386,9.620538736741747e-05,0.00030239060935562486,0.00014429150922983284,0.0004887639824427051,8.89147983604324e-05,1.0212311158139298e-05,0.00023617737385805558,1.6447068902023546e-05,7.767788063446433e-05,0.00010284089016675685,0.00015914648144041706,1.2974897569660961e-09,3.7114268655515556e-05,7.528645942495479e-06,3.393242487496496e-06,2.9612537728030073e-05,2.16750554188576e-06,3.1112860072662724e-05,5.083520773432526e-05,0.00010423707947374232,3.2724777646616664e-05,4.4914232518992005e-06,0.003823390981021189,0.0011838853462259658,1.8164016024615727e-05,0.0009594694806001197,0.00012992524270739897,1.9486263626844518e-09,4.720916600872341e-05,2.2620315357109495e-07,8.655437047286465e-05,1.0736242069754782e-06,0.00019385559174248064,6.462892016588961e-06,0.000304587729626373,0.00027076263422962945,8.133946303395115e-05,0.00018487696717848516,2.38116921281986e-05,0.0014116264290845832,0.0011112404749186533,0.002085224527161894,0.001770052761088109,0.00010003129360409646,0.00011688401897207699,0.00010030183266096282,0.003514772739995119,0.00013188076043731624,0.0021646984251490657,2.222157537004968e-05,0.00029114044198457785,3.155722648603232e-05,0.026393521095457725,0.018523802356100846,2.0324875965862692e-05,0.024730049814900346,0.005862188618937603,3.3580526200576906e-05,1.7348495372470028e-05,5.042610086832591e-07,0.000127531279506418,0.04774714249385471,0.017133301924374573,0.04519217055602317,4.531314021226582e-05,0.004157815541926713,3.81949625717271e-05,0.2455485390973678,0.017704387599384988,0.0015917894754125476,0.001542217780525884,0.003042954517855756,8.096367061616993e-05,4.0793195919499335e-08,1.6446133761865534e-06,0.0044185983604329866,0.38010728211419026,2.4462343177685163e-05,0.0005636534949503587,0.05086221726702147,5.963654886821002e-06,0.002540647656447604,0.00022513858043516326,0.010922607944546822,4.493103110433165e-08,4.0675691968309904e-06,1.8241331735006727e-05,0.05820557178257543,0.000255135777024788,0.00526992734727783,1.922672387765253e-05,5.910376099206479e-07,1.3967202171430593e-05,0.00012880341455815254,5.812344654251661e-05,0.0019052766777565633,5.513450444453927e-06,0.00015448018647328882,9.393588581297934e-06,5.297497890321452e-07,7.093950557107842e-09,6.466495930603673e-11,2.01222116471735e-11,5.757852281393199e-10,4.78788425537936e-09
