,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
Energy Eigenvalue,-9.271698264779493,-6.557545329395364,-6.152196916099963,-5.603583737960342,-4.801643015516249,-3.9893162442967807,-3.6804464039562768,-3.6730919564374314,-3.0416725146239663,-2.5112253681802557,-2.0296082697795144,-1.5535731219471556,-1.0601169652405662,-1.005257025178131,-0.8648976845440581,-0.5657615885927673,-0.26737286761035567,0.016709709475464928,0.590903275556091,0.676506974367915,1.4639150611704257,1.5281038150891035,1.577453499914559,1.9385507275011873,2.433207452578384,3.0378142043625647,3.6262153052726984,3.8727130472624403,4.3289871751626405,4.577869296213141,5.0692592795395255,5.93358619068678,6.890126835960924,8.795641730394744,26.653821729285184,26.653834161327783,27.345487724130674,27.34985827624437,27.74477052981752,27.745336026060905,29.543954333524773,29.543995196277272,30.330493346722786,30.3307256400274,30.461154349762182,30.4620716712974,30.842246048666052,30.84363104645299,31.390482183935,31.39059804807986,31.905154075081672,31.90516222063133,32.04802448548724,32.04814633045952,32.391477508406474,32.391495729011986,33.00948487624372,33.0095861223286,33.47811410963722,33.48042623942299,34.04580359296363,34.04604643925654,34.50644643220275,34.508202422029186,35.22064295447607,35.220811522856195,36.389419719736395,36.38957786182989,37.04850807341051,37.05184309139061,37.37008299362553,37.370447804059395,60.28136367597449,60.28136521608146,60.832944089501964,61.482095183799856,61.48228545240894,62.48955538517924,62.890273498592,62.892473708358466,63.38127245515752,63.38128143459737,63.90696227577011,63.90698542758078,64.46540194565443,64.5873967513874,64.58740043409972,64.5984560207149,64.62402746930265,64.87866509155707,64.87900287678964,66.01595144370891,66.01595363915331,66.65089347961434,66.9377127820912,66.94885424767439,67.14392407422916,67.14540277876237,68.92395731748752,68.92998164496055,68.9307536195068,94.06326317700082,94.06326324569503,95.00984300126179,95.00987852686855,96.44146555314244,96.44574950335164,96.97113425343346,96.97113432010303,97.0855854207857,97.08559234573401,97.19284576030077,97.192846674541,99.05598266050335,99.05600796219481,99.7258878244944,99.72588799753542,127.59853170266327,127.59853497913723,129.19312786904365,129.51270540301041,129.6171517330916,129.68482534519217,131.6447594435109,131.64477663958095,161.78356716505454,161.78357239465365,194.3746960010818
Probability,0.21940840410893134,0.022908490322399586,7.303318942110836e-30,0.029732787029757693,2.951487639773439e-32,0.00929523394321064,0.15345154426049123,1.3820629630323102e-26,0.12585669177915554,3.648127345630068e-30,0.030805888682711967,0.004805658851227396,8.451973653598766e-31,2.535694128989281e-33,0.047715698861704285,0.001536869769031235,0.021076964640853128,5.162918642822854e-29,1.0504963816801413e-29,0.017572779333262588,0.023268286782954655,5.585196838722983e-33,0.015674877818098287,0.06766338427806043,5.801863957466548e-33,0.08002022340520802,0.014006085656315273,1.8712552006785124e-29,1.95096703366427e-31,0.03267550264029304,0.009784481889802975,3.6828595361544913e-31,0.025291132666378606,0.04737187591609727,1.0126984354486944e-05,1.2072978926481102e-25,1.4063804001558521e-27,1.012792783051452e-05,1.9264930584907783e-29,1.3072786293762506e-05,1.653475810672174e-07,3.4324435044010795e-35,3.1471275155694946e-33,1.231929281683257e-06,3.056285312137947e-34,3.8910873685572805e-07,1.4608019826237225e-34,2.530252788659361e-06,2.4799404319297804e-34,5.362077887936151e-06,4.727853019734491e-09,2.3796487232855605e-34,2.2855210131434662e-34,2.297243301227032e-08,8.287723955930298e-06,2.276932557542771e-35,1.0768703747882974e-34,6.1492726324965785e-06,6.013373594745879e-34,6.9752026508076195e-06,1.9918751774683666e-34,1.1333534788844604e-06,5.661626195716502e-35,8.769450005521195e-08,4.9753459614125665e-34,1.231595514662808e-07,1.6795242879358063e-34,3.7478079404138556e-06,2.747369592081188e-29,2.7598412146878166e-06,2.808330332973236e-29,4.815203278952219e-06,1.1261248197825606e-26,4.407818252818216e-09,1.9779026365160614e-09,5.679652990777226e-09,9.61107124279068e-31,1.0512257080048086e-10,1.3274804916362422e-34,1.2158477175102553e-10,2.171632169636687e-34,1.0177354418722673e-09,3.1858069070972755e-10,2.1687538586462443e-35,1.6165752110672682e-10,6.806913156404605e-13,4.273482735737429e-34,9.458740419755053e-37,4.201451951810431e-11,1.599070569280781e-34,2.127046333133737e-09,2.354027285101537e-09,3.988277844897321e-34,2.7046655873247268e-11,9.144891463691415e-35,7.25065413188213e-11,1.826615480216508e-34,3.507148211689687e-09,8.968277126939805e-11,4.45219337434695e-29,1.9712689215245316e-09,5.1630843494799675e-25,2.4583316226743193e-12,7.398846259962781e-32,2.5937276016317268e-12,5.354499095746261e-37,1.1529662233900639e-13,2.7975227161278858e-15,1.3214953014173168e-29,2.101663064002776e-32,1.943402775327501e-13,3.3067087540415366e-14,3.6162364310733705e-30,1.44420010030599e-31,1.3956245101369377e-12,5.516295609026135e-29,1.5250325023945627e-12,2.0150507864494536e-35,4.789917411147801e-15,3.691599523284464e-15,4.571851518137062e-17,1.3042576954746287e-34,1.8776457493006304e-17,3.0706001325226913e-35,2.5590015630116363e-15,2.2515790440242935e-36,2.183046012876701e-18,4.807781774062873e-21
0000000,0.11547134353260231,0.014914417907943072,4.706619522452399e-30,0.0208548020035848,2.6354853462566273e-32,0.007396991952448403,0.12527052848083015,1.1297868004885938e-26,0.10801499532233164,2.8712002995554228e-30,0.02863192877632023,0.004631385174388217,8.320040490914707e-31,0.0,0.0485702034552624,0.0016025404419396296,0.0224797559623754,5.464821414742745e-29,1.117366728971232e-29,0.02017970828800761,0.028443404634911226,0.0,0.019316671366006476,0.0858511902186848,0.0,0.11065274007166236,0.020283325301264882,2.7760694517475695e-29,2.7714939448830062e-31,0.05098036992474845,0.015875458838490963,9.004051834106576e-31,0.04731627117668445,0.10288977322611073,3.360245500766708e-05,4.0059340423389545e-25,4.9806757269946976e-27,3.591847673244949e-05,6.902189329981137e-29,4.766381265013783e-05,6.977277517695544e-07,2.2036663473445558e-35,7.806931292273091e-33,5.401803053934042e-06,0.0,1.7763343622307942e-06,0.0,1.1699802135371535e-05,0.0,2.5907645582015422e-05,2.0555730721269094e-08,0.0,0.0,1.2763563463002818e-07,4.302141103079243e-05,0.0,0.0,3.378632654215681e-05,0.0,3.977655555726909e-05,0.0,6.735616666495676e-06,0.0,5.523370232496597e-07,1.7388506763836822e-33,8.099227190008474e-07,0.0,2.673161689095177e-05,2.029991155073312e-28,2.0675614717742452e-05,2.136057382048666e-28,3.6819983635231535e-05,1.6403523035920774e-25,6.42083459979976e-08,3.025612082907383e-08,9.087646053508941e-08,1.5602773559012102e-29,2.2033142079919333e-09,0.0,1.957690437100368e-09,0.0,1.9156546464680013e-08,7.3689288120846895e-09,0.0,3.9629253024105745e-09,1.3504790200018464e-11,0.0,0.0,3.690067443038414e-10,0.0,4.457740417355402e-08,5.388601386291817e-08,0.0,8.048712936795216e-10,0.0,1.5820277029781662e-09,3.2305278510779626e-34,8.732057674640779e-08,2.5821248828974677e-09,1.282410200139138e-27,5.652849240326488e-08,3.315143423073344e-23,1.5784444495126983e-10,4.944874750472095e-30,1.8225277040179577e-10,2.984474699646597e-35,1.0632441680385527e-11,3.1434782305863893e-13,1.4845141364456515e-27,1.909088788546802e-30,1.7813543383678064e-11,3.2592436180954903e-13,3.566493680672327e-29,1.3889278985234133e-29,1.337684801701881e-10,5.4938851427916995e-27,1.5180251639672328e-10,7.676671609484525e-40,3.2636906803803344e-13,2.8200610541863653e-13,5.003472596389722e-18,6.463849630470268e-35,1.9154345343431163e-14,2.052351118066126e-40,2.3954889951373457e-13,1.2927150386904791e-33,1.01571722249985e-15,9.15637834332078e-19
1000000,0.07318561254970601,0.0023855909170404296,0.06453082854662695,0.025636427376362562,0.053721749349756494,0.02136178042379997,0.03526603746914979,0.04012227489689799,0.009203898296664032,0.00654298049406039,0.04461117937548755,0.005894008124636418,0.015166520611451493,0.003700002245149128,0.012429604421801431,0.017373163267953493,0.00023319975679452864,0.11103517299156354,0.006033048620150557,0.028544296598995565,0.020066155356962045,0.05350048760311827,0.045884050797095385,0.0010921456962201747,0.014472568098928495,0.006746582046876992,0.0013358188221574024,0.028272300581424995,0.03581645481608503,0.03827249478860245,0.037390587834296746,0.0649958721334585,0.0023462285263955063,0.06865163704549941,0.00045777167846515465,0.0006752297151816815,2.5409645691420037e-07,1.7006907020310458e-05,8.034389736013107e-06,7.277483516986085e-06,2.4139489037435924e-05,1.223563501310061e-06,7.698713488859023e-05,0.00014358942503204752,5.411279237619342e-06,1.552640796357968e-05,3.9048687895708645e-06,3.171192559233747e-06,1.9071156557826413e-05,6.944820558453368e-07,9.215656241274498e-06,6.124792742859279e-06,1.3416701751294749e-05,1.5127175424264263e-05,0.0006722997026379753,0.0007252884854478789,1.6355102956413223e-05,2.6657995074235693e-08,2.744202147459039e-07,7.715790156761774e-08,0.0001140619546632867,7.387748874653216e-05,7.91825024284992e-06,5.4601566205123885e-06,9.25397210176862e-07,2.7859177962815683e-05,5.605801463993891e-06,5.033913787356721e-06,1.10162164365045e-06,2.3227114470170088e-06,0.00040399968738050684,0.000604230179126976,1.7677952106670044e-06,1.2669338400479501e-06,1.947230491117383e-08,1.2289734084643613e-08,1.3478827499087116e-08,1.475791604858076e-07,4.54685060048591e-08,3.874920620425682e-08,3.6154548082131064e-07,5.481178748164483e-07,1.2046748764133715e-07,1.184188296935139e-07,4.026002705270657e-09,2.4269522457947292e-08,1.6745465780609654e-08,2.2878655728951143e-08,1.9065208199506947e-08,4.370689876120041e-08,1.6357467138601104e-09,1.236215788016987e-06,1.2961189067707798e-06,6.126806613237425e-08,1.77807323685559e-08,5.3904436860202123e-08,8.465438319202277e-09,9.395792018223356e-09,5.10376149901511e-08,8.297577408334145e-07,1.1697610695037467e-06,4.608925462068815e-09,3.413536355887175e-09,3.011100051553322e-11,2.8006861701082107e-11,7.156942771682212e-12,8.388005913721043e-10,1.4420976761858119e-11,3.693532592616669e-12,3.484447579092416e-10,4.95233958561024e-10,8.160430546129693e-11,8.33537344124856e-12,4.589552362040986e-11,4.8078542014496504e-11,3.363347756826061e-09,4.33888149513816e-09,9.744806090315612e-12,7.103086090359525e-12,5.3566868370844616e-17,8.183414290385509e-16,5.400242308880638e-16,1.8393508759957186e-12,4.790370135319521e-12,7.667662379075018e-12,2.6068995083859414e-14,2.6209962159824816e-14,9.432201511210996e-17
0100000,0.038149939958370266,0.05240439386720112,0.046265172508767334,0.04474872068615103,0.002463024226466417,0.027349372514062893,0.0021461922921718088,0.0952788454627794,0.018647556319121007,0.032895002774107306,0.005624043971091576,0.008196917195687074,0.013795569412005007,0.011130550253318923,0.05317599559864534,0.0036347305627841804,5.503903916300671e-07,0.11067614304649999,0.005675328415130668,7.206583132224665e-05,0.009861429010448664,0.03355240277504149,0.010062111358734896,0.06584639139377106,0.04960377029732627,0.008797965367526554,0.03148526051243807,0.05233636155610363,0.0014988213744810243,0.00032336586592854815,0.03992855407868496,0.04082350033579868,0.05422910416887354,0.021310689943209712,0.0004728516000139827,0.0006308625069383023,9.786389331935908e-06,3.4346447820736573e-06,0.00080234663775568,0.0006088897808948781,2.3228850970261464e-07,2.8719672295638933e-05,0.0001472910578916916,7.353494138085218e-05,8.762630774709281e-06,1.327745706486558e-06,0.00033274276239824053,0.00010992756384293535,1.2782693247453337e-06,2.7974642372200063e-06,9.753804006077003e-06,6.14508221242555e-06,1.2282582889817914e-08,4.274047507353097e-07,0.0007236783950988747,0.0006484795807283445,1.8100035378443892e-06,3.7484387229746194e-06,0.0004394142811084745,0.0007658154394073398,5.717088106846847e-05,0.00013449067463897155,1.084417679919826e-06,5.273851370402955e-06,2.1339891148965896e-05,1.8951243127759016e-06,0.00042029769596110876,0.0005094117676620371,2.6401542707297034e-05,3.9769019132188396e-10,0.00040986949629171377,0.0005645258968382231,2.858629083529985e-06,2.4106967552134767e-06,6.77954609060828e-11,1.858509832480244e-06,2.380341024291906e-06,1.445424198744215e-07,2.752675283188909e-08,4.452382634666186e-08,1.0539805371286618e-06,5.440839348372531e-07,4.697619180762072e-07,3.897881152176449e-14,1.758729147904668e-07,6.747298471908964e-10,2.3585283065032733e-11,1.2010340342965546e-07,1.2725744569959277e-08,7.444998297997346e-15,1.5459926354917258e-10,2.5997378158883782e-06,1.8434349441347137e-06,6.625549343292875e-08,2.0332419692651188e-08,3.6221107759777696e-08,1.7065441152345721e-06,2.3846535798631237e-06,2.0377599199917934e-07,1.657879259169223e-06,1.652961355834632e-06,8.614951085547185e-09,7.2765099048969395e-09,4.510746218642199e-09,4.606049581403476e-09,6.151011528717075e-11,1.1546130948367506e-09,3.9161566416797986e-11,4.5783448360296076e-11,7.805513321132609e-11,1.5936954473495183e-09,2.9416261262931365e-11,2.529695265475256e-10,3.3062806668863348e-09,3.3867958258276395e-09,6.7852744168210766e-09,8.521899282914592e-09,1.702966514986388e-11,1.727239761249074e-11,2.864884945886968e-11,1.4415243302597607e-15,5.826513264205925e-14,2.9060400807899485e-12,1.2484123563836446e-11,1.2693923418536405e-11,5.0857939903356e-15,1.544929841844854e-13,1.9480810917701549e-16
1100000,0.0006939598658108587,0.00011318815160453967,4.1441717997262985e-06,4.461863193970414e-06,0.00031650581023906656,0.00040446662169514434,3.9386322917682555e-05,0.0009799441447154503,0.00015153662425302194,0.0002699072731480209,5.0985528072779414e-05,0.00012975761641301274,0.00024260854837607332,0.00011310948360081913,3.389477921824252e-05,1.163350928547089e-05,4.512186798753411e-06,1.1722706895967224e-08,9.457331379700153e-05,0.00013483870314172174,0.00018299396539999012,0.0006703427988884058,6.92250466011742e-05,0.00024825654672644475,0.0004778546191367834,0.0001812270719495124,0.00015379979757505926,0.0006509231459682045,8.00516817108936e-05,0.00017414173923910076,2.288977803955079e-06,1.657855437125867e-05,0.0003655093294659735,0.0008270866377461847,0.14018290371284656,0.13985195854926744,8.764116902811007e-05,0.00010582954915635723,1.6766916100899757e-06,1.4441307151943073e-07,0.0022130503970382845,0.002206507364908822,0.027220843239363655,0.02729107207640807,0.00037180309103022625,0.00029420344707887147,2.3963479940845144e-07,8.695699316208117e-07,2.3328265515899683e-05,2.0896347480945504e-05,2.7854881700026257e-05,3.5720236501699826e-05,1.3182147824630305e-06,1.0651455739970434e-07,0.17444149333821768,0.1745022671579515,4.064885172463154e-05,4.279817224251389e-05,2.6541458405717536e-07,1.6738848987273477e-06,0.023179660929889635,0.02313260017871206,0.00011977264985389981,0.00012507833263423302,0.002359471119867963,0.0023497403027794113,6.2321934379975965e-06,1.6260837157973615e-06,0.0017201345541655367,0.0019301363544820516,0.12239883683665495,0.12184547229128453,0.0006804178597646127,0.0006814220569405101,5.8148074318826974e-09,4.949763831715422e-09,9.651468673862736e-09,3.6899749800673854e-05,7.724370422914412e-06,1.0288929725057167e-05,0.0002010614078387887,0.00020167282562505608,2.9829881998992716e-05,3.0175698761176953e-05,1.43609003147567e-10,6.461382647364205e-08,7.745979722999609e-08,3.4591199799240206e-10,1.7057176367968096e-17,2.9897161244042433e-10,2.176540428428512e-08,0.0005702829994577828,0.0005717016875237375,1.6661973362210577e-05,4.856737493386633e-06,9.46290459206536e-06,5.184878578659638e-09,9.199766171377118e-09,5.010950484411961e-05,0.0004548461439112057,0.0004040379479029122,2.0609997568684085e-06,2.064277606914961e-06,5.829961815738446e-11,1.4745185454715867e-13,1.628950896525425e-08,2.9749284938336845e-07,1.1421164075220302e-08,1.1093123736624861e-08,1.5309273685980753e-07,1.52678007115188e-07,7.295083953782509e-09,7.1410444078867115e-09,6.899662741306011e-11,1.6212072192215779e-12,1.98522122907475e-06,1.982313653329146e-06,4.445050111824304e-09,4.485458138143486e-09,1.031002088050237e-13,4.1568403947693214e-13,1.5906099348787407e-11,7.503273031498405e-10,3.2540502653078636e-09,3.3010133400965497e-09,1.4112388608969563e-11,1.3967626177950124e-11,5.0738718559951706e-14
0010000,0.047487035934518515,0.01443847442047514,0.017417814832421896,0.05314550028699673,0.10493407491703786,0.038773948248388826,0.03239495516898266,0.011356498522258004,9.668211578340895e-05,0.0014987548097995537,0.010370917142509472,0.0005326429219893508,0.06506016423646349,0.030116929284647397,0.036378775918831555,0.01317962885602083,0.0015173850428721646,4.083203525043789e-05,0.14726644981900588,0.055528787003089136,0.006496686231562023,0.001782553412076105,0.0030489798366857244,0.011836198981439859,2.0171826947835e-06,0.007455466313815071,0.03763019606447915,0.001812335981815498,0.09202461666070687,0.026643268686204858,0.048890813466200764,0.022721144806334984,0.003100643379576304,0.04704576865594344,4.658452910701824e-06,2.0451278777605135e-06,0.0005907869168348208,0.0005369723534842704,0.0007896374018099772,0.0006241341393757526,4.874017585626464e-06,2.166487447344504e-06,2.6581095160969105e-06,1.30851351790116e-05,5.876859327553743e-06,1.6746200497011407e-05,0.00018803011161735026,0.00021555648463903322,0.0004241087004249982,0.00041939762164149887,1.2865045439630153e-05,2.502702920789862e-06,9.661940660244865e-06,7.114709049219372e-06,1.0674276919188514e-07,9.822461522130024e-08,0.0005761996750312942,0.0005176336764170412,0.0005755330260034237,0.0005977005668238487,2.0030601805093877e-06,7.906801586835201e-06,4.547973403416747e-06,1.1993896232670497e-05,2.119306334785833e-06,6.154729444554023e-06,0.0004001909465804302,0.0005404277861146711,0.0003752759776278515,0.00043557396038938415,6.31228983840255e-07,1.3966109202259412e-05,1.688428740163058e-06,1.2871317213134834e-06,2.7773572814709434e-06,3.737430978124541e-06,3.691460400611069e-06,1.5877133928496063e-11,9.26721800022378e-08,9.059938566851991e-09,3.528535275750373e-07,4.93677354913331e-07,1.1481569992307309e-07,1.1903392412834374e-07,2.4278265282536716e-07,1.6175879863043994e-08,2.6589575854305194e-08,7.256972332536008e-08,6.895158208337095e-09,4.1601380455879757e-13,4.099612364624093e-06,1.2055960031018874e-06,1.260847766127763e-06,2.688831885627468e-10,7.539254420538424e-08,5.840377345711144e-09,3.554676174930871e-06,3.5978418591885533e-06,6.169150986480838e-07,7.875900156856431e-07,2.102521519154762e-06,7.864927585780777e-09,7.941127411879464e-09,8.092377077447744e-10,2.6457333135289863e-08,2.470926949847725e-10,2.468976719666762e-10,1.281102996207552e-10,2.3697937806499663e-10,1.019363188957049e-10,9.124168713340969e-10,8.185040774488502e-12,1.87685331377828e-10,5.88440319546042e-10,1.945964330488052e-08,7.566110828027295e-09,7.650169281011204e-09,2.4035809787844683e-12,5.28970054549814e-11,5.914293621942381e-11,5.701771379231798e-14,7.703732674235873e-13,1.0599756074778408e-12,1.7501907069481645e-12,3.889747576585853e-11,3.693324787915781e-16,2.3330331165930204e-13,2.2937835299322916e-16
1010000,0.03256215532143316,0.031603308861248625,0.06183659676100656,0.001034241368035662,0.01285649342496453,0.0013103542533869016,0.00113375787348366,0.12953156198689836,0.017306831670116415,0.0005441366220220734,0.0018501470462730723,0.031028857848020536,0.031017293164429565,0.015130804526017607,0.008232283886573377,0.13115118512320612,0.000901229312315169,6.6511556743436776e-06,0.0017297625513563182,0.05578592024888122,0.01605664819862846,0.007120424580109162,0.0011021639883820222,0.06906972968858478,0.01911322758305883,0.0147246074467305,0.008456616980859437,0.08096069996669746,0.04341913465413387,0.006112772740626481,0.0015412767931761212,0.09422393781678849,0.016330963309998798,0.050195673293544234,4.681114125039478e-06,6.38382896383492e-07,0.0004207410547541858,0.0004235261247223211,1.8237087092836308e-06,1.4546377414621456e-06,5.854457523497789e-06,8.864809223335126e-06,6.436811552205699e-07,8.09822427169526e-08,9.664283255677634e-06,8.654658150658934e-06,6.331310050249271e-06,6.6218983801043525e-06,0.0005641768027195412,0.0005673219765304684,1.0229925114882305e-06,3.7681740219923756e-07,5.175321999458705e-08,4.2334697386150423e-08,5.042388520006982e-06,1.517718474233691e-05,0.0004031722151381488,0.0004012119936738052,1.125939335711102e-05,1.171349501130029e-05,7.702754550730559e-07,1.955562521002655e-06,1.135270753317059e-05,1.0004168937968177e-05,5.825309055982698e-06,9.818684279775722e-06,2.717126213583236e-06,2.6515265153891393e-06,0.0005502595888975849,0.0005374034730806076,1.6396814484940902e-06,1.6423164454200666e-05,0.0001726474592075638,0.00017627842508428505,2.0953365148269877e-06,4.642445123215288e-14,1.6614949546803397e-11,2.005628363859833e-09,2.418397719354264e-07,6.926062854561063e-07,5.1602626490865084e-05,4.838326306414119e-05,8.537809726329403e-10,8.896536505872046e-10,2.3025659060635877e-12,2.928345901599817e-08,1.4986195740251135e-08,4.644928044535126e-13,1.4607900235618854e-11,4.171095367857289e-06,9.323730425405686e-08,0.0001429376835335652,0.00014828428350726282,1.5296719334606857e-08,7.523378948928386e-07,1.9367715733333598e-07,6.572002283165308e-14,9.36391576749133e-12,5.450539556264227e-06,0.00011415454770087687,0.0001156977277945776,9.364949914094481e-07,9.362224641040363e-07,3.3388833890069543e-09,3.3251079984350774e-09,2.9131595698588576e-08,2.913922462706721e-08,1.611387108749645e-08,1.6116103814784524e-08,1.663110910465058e-08,1.6673008682645907e-08,7.615085403066693e-09,7.585917955015706e-09,4.513098048956486e-09,4.5121635084061784e-09,9.011313523817595e-07,9.013725380948006e-07,2.551805691444881e-09,2.0786905748056524e-09,6.676602340698964e-18,3.510825695454113e-12,7.057459959208256e-11,1.4654823601798406e-10,1.46715120803875e-09,1.9395587150250318e-09,7.48441647251155e-12,7.485208084463111e-12,2.722934651480377e-14
0110000,0.0005247416993889359,3.372810199445482e-05,2.8697319161155712e-05,0.000701600862158464,0.0002866645517702026,1.4265100474109748e-06,3.946832897324128e-05,0.0006226960593743149,4.8572332538558486e-05,0.0001942346125427254,0.0001588523597781288,2.8924736048273258e-05,0.0005498229841202382,2.209328163093668e-05,1.674698941205632e-06,0.00013809333050401434,9.889884063573853e-07,0.00041882036917658967,0.0008372187014140046,0.00019158163220549793,6.940034527471136e-07,9.188716554976056e-05,6.970687631156999e-05,0.00011633006749847135,0.00020670524584757115,0.0001873974055334409,4.580002298117328e-06,0.0001660921078628655,0.0004887755662388668,0.00011051066287880424,0.000758892146259974,7.711669823694941e-06,0.000177573070094162,0.0006895035918231687,4.452977621124314e-06,6.817316536012273e-06,3.9791474454745896e-05,0.00018469047132925234,0.17570176522678638,0.1759358131325896,6.555821834300706e-07,5.033543129386761e-07,1.4496739327817102e-07,2.9025561738921448e-06,0.0003268490027296507,0.0002449129052795683,0.05053001048723118,0.05096956352196578,5.22180950181283e-06,1.7635940567667534e-07,2.0608845912937407e-07,2.0933353713007448e-07,1.6979817693762972e-05,1.977848742842534e-05,4.916107360846036e-06,4.626747883085646e-06,6.274850242327527e-05,0.00018467520794892032,0.1470904569786726,0.14642412110566674,2.5571423232200964e-06,4.6267775797244436e-07,0.00020008885316664179,0.00017842088715313466,1.2813108458689186e-06,6.06017912755345e-07,0.11807695265672095,0.11782451599606891,0.0002069120369935073,0.00017537621645653744,2.0546196311594607e-06,2.6255562896566638e-09,0.0006707725597622913,0.0006717367754917519,1.7290646052171246e-08,0.0009567176614447612,0.0009513159521279704,5.13017289605437e-10,1.5563533922201068e-06,1.695107822071442e-06,0.00019195640263116627,0.0001929708065701193,2.8276838774343938e-05,3.0567636253450066e-05,6.122206483945896e-05,8.022866728066395e-08,5.6115476259666966e-08,1.8655754862187393e-05,1.8288994210582959e-06,3.3719111014838316e-10,1.742017236454251e-08,0.0005599224855598098,0.0005603118570321401,9.884323948500052e-08,1.5941894639673734e-06,1.5592307605569077e-06,0.0009149850193770725,0.0009224716084574508,5.20477833276305e-05,0.0004493591130162278,0.00039653099446497627,3.614536073799387e-06,3.6273345580115037e-06,2.3685541049383478e-06,2.3438984559462473e-06,1.1322703603172599e-07,1.1092071785757107e-07,4.5830231302294735e-08,7.968773089706857e-08,4.501034551607758e-09,3.3182582865963494e-07,7.13138384377956e-09,6.677133286418339e-08,1.7392955559244766e-06,1.7207772004525248e-06,3.4750324585747715e-06,3.4959961731284873e-06,8.974776368526561e-09,8.909653366619155e-09,1.5280963420096414e-08,1.3119092195889584e-11,2.707683212864046e-10,5.681508691711036e-10,6.587437226835011e-09,6.5412950485073015e-09,2.7443444102815744e-12,8.304400752971969e-11,1.0549268494503173e-13
1110000,4.414688562820762e-05,2.424701514104354e-05,5.349972981863777e-05,3.2567919456906493e-06,1.1796839836648986e-05,3.211781821061773e-06,1.135655357884054e-06,0.00016143454882143758,1.3506267186378153e-05,2.4368002813452237e-06,1.0761957988277178e-06,2.5253949790937763e-05,2.1862396764321615e-05,1.278945441661536e-05,5.549247198221289e-06,0.00012228272649949701,7.204273757721729e-07,1.090251625292703e-06,4.2795543254111005e-06,5.438717668264598e-05,1.8117013783884542e-05,1.289648870958296e-05,1.3542804315803528e-06,8.527770464968806e-05,1.0977876631003548e-05,2.060504327870508e-05,5.959408997490524e-06,6.105552520635946e-05,3.864201168576129e-05,4.13110221319374e-06,1.0793818477239278e-07,9.928664847204479e-05,2.582490411475044e-05,3.235116856227727e-05,0.0005160301199590553,0.0005107575157762997,1.5894311880914347e-07,6.519264861178449e-07,0.0006715294829969672,0.0006775977909303348,5.570765614713223e-06,6.393137841666009e-06,0.00011400032783982825,0.00011188498086881028,8.462375272445484e-10,3.936716342357005e-06,0.0001962849070233978,0.0001922838318087322,1.426021641161581e-07,2.9525883026437714e-07,1.9906649181687908e-07,1.7073880340182746e-07,9.369287008659061e-08,8.805573941479717e-08,0.0006662247687514928,0.0006763359507983928,9.238647321213079e-08,9.749744219762896e-07,0.0005696149650060515,0.0005560020124619865,8.040626244620698e-05,8.449146797006195e-05,1.9560269006992394e-06,7.941334681476688e-08,5.986228477545768e-06,7.013703513237215e-06,0.00044541390675473724,0.0004533884364529526,7.462300949160342e-06,1.3460799913681638e-06,0.0004998482835047929,0.0005073052692095206,0.1766879505942746,0.17668373774200594,1.429599553936131e-07,3.4885744326604345e-06,3.4691976284707077e-06,3.206987858384507e-07,0.0004283890454380223,0.00042961177994957296,0.05064087719492766,0.05064071431113021,2.6658712957267843e-06,9.227285950472381e-07,2.413631228543298e-07,2.026092931193313e-05,2.0284926890038877e-05,3.526180517858583e-08,1.2434049564991192e-09,8.253455758420062e-08,2.9020959357530915e-08,0.14743507316557594,0.14743265045085474,2.512709159190496e-05,0.00042812478052748785,0.0004070985660067025,3.4116794232499326e-06,3.436731400400676e-06,0.013450782745916889,0.11812751010576637,0.10467226994145643,0.0009541980968703083,0.0009541841849457923,8.838361772481179e-09,8.716045050263696e-09,2.9651791377566185e-05,2.9364119715479617e-05,1.623735031196992e-05,1.621763612653976e-05,1.71877329766176e-05,1.6879339520026384e-05,7.780447171083375e-06,7.721466332903646e-06,6.604219221805062e-09,6.853009571533525e-09,0.0009184372243795381,0.0009184184741401005,2.357466811141134e-06,2.357489651233285e-06,5.786117966221125e-11,3.4501387134058315e-09,7.140750004314645e-08,1.4957027298356949e-07,1.73033512392893e-06,1.7308350592669264e-06,7.685570119071836e-09,7.605287838987864e-09,2.781743430969946e-11
